367376640,2023-01-01T00:05:55,38.40758,-82.57416,0.1,218,293,MAP RUNNER,,WDE6160,31,0,19,7,,57,A
368149820,2023-01-01T00:05:56,30.49126,-86.13967,0,210,141,RUSTY MOORE,,WDL6345,57,12,121,18,2.8,57,A
366996080,2023-01-01T00:05:57,39.83758,-90.56952,0,5.9,341,CITY OF NEW ORLEANS,,WDC2657,31,12,34,10,,57,A
563326000,2023-01-01T00:05:07,29.99268,-93.93905,0,144.4,296,EAGLE KINABALU,IMO9422196,9V8779,80,5,243,42,14.6,80,A
240929000,2023-01-01T00:04:55,39.2218,-76.57652,0,140,276,NYMPHE,IMO9438781,SVAS5,70,5,292,45,18.2,70,A
367752440,2023-01-01T00:05:16,43.0792,-70.75735,0,360,303,SAN JOSE,,WDI9818,31,0,,,,52,A
367428620,2023-01-01T00:05:09,29.43625,-92.07363,7.9,252.9,511,DIP,,WDF2482,90,15,25,7,,70,A
367052000,2023-01-01T00:05:19,28.36367,-91.09785,1,172.3,82,K-MARINE V,IMO9019195,WBD9290,90,0,61,13,3.8,99,A
338237772,2023-01-01T00:05:20,33.71313,-118.05665,0.1,6.8,511,SHARK BAIT,,,37,,,,,,B
245968000,2023-01-01T00:05:28,18.85326,-65.87004,18.4,304.1,305,VOLENDAM,IMO9156515,PCHM,60,0,237,32,8.1,69,A
338118564,2023-01-01T00:05:04,18.28817,-65.63425,0,27,511,MY TOY TOO,,,37,,10,4,,,B
367162740,2023-01-01T00:05:29,29.87842,-89.89938,0,203.5,511,CAPT ROD II,,WDD5731,60,0,14,4,,31,A
367515210,2023-01-01T00:05:10,29.57677,-90.60558,0,174,511,CAPT CLAUDE,,WDG2394,31,12,16,6,,52,A
367421660,2023-01-01T00:05:15,46.2016,-123.38733,0,360,511,CAPT BOB CAMPBELL,,WDE9819,31,0,21,7,,52,A
367653770,2023-01-01T00:04:50,47.62874,-122.39203,0,183.4,511,AT EASE,,WDH8008,37,,14,,,,B
367764520,2023-01-01T00:05:18,29.78002,-91.80173,4,120.5,118,BRANDON KYLE,,WDJ3076,31,12,,,,57,A
367057340,2023-01-01T00:04:52,34.49595,-90.59077,7.8,197.6,185,CAPT R P GETTELFINGE,,WDC6512,31,0,46,15,,57,A
338142000,2023-01-01T00:04:48,47.66333,-122.91555,0,124.4,246,ZEPHYR,IMO8992845,WDG9976,90,5,25,7,2.4,59,A
636021742,2023-01-01T00:05:31,29.22448,-94.65581,0,331.8,74,SEA GALAXY,IMO9935648,5LFM3,80,1,275,48,9.5,80,A
366995230,2023-01-01T00:04:50,40.64392,-80.48359,0,360,511,CAPT BILL IKNER,,WDC2580,31,15,24,8,,52,A
367003220,2023-01-01T00:05:34,29.59793,-90.67266,0,149.4,511,CHARLOTTE C SETTOON,,WDD4755,31,0,15,6,,52,A
538090382,2023-01-01T00:05:34,25.76456,-80.14215,0,237.6,269,CAPE TAMPA,IMO9441166,V7RC3,80,0,228,32,14.5,89,A
366996080,2023-01-01T00:04:47,39.8376,-90.56952,0,5.9,341,CITY OF NEW ORLEANS,,WDC2657,31,12,34,10,,57,A
367661820,2023-01-01T00:02:17,30.01441,-93.98376,0.6,352.7,186,MISTER MAC,,WDH8821,31,12,22,,,57,A
367683590,2023-01-01T00:05:04,39.71232,-91.35439,0,360,511,SIR RANDALL,,WDI2967,31,15,16,,,31,A
338123987,2023-01-01T00:02:18,37.96284,-121.36567,0,0,511,DREDGE NO 8,,,33,,,,,,B
338469165,2023-01-01T00:05:04,29.39443,-90.72878,0,360,511,TINA L,,,99,0,0,0,0,99,A
316023892,2023-01-01T00:05:26,49.31193,-123.08858,0,304.1,511,MAIN ATTRACTION,,,37,,14,,,,B
367778730,2023-01-01T00:02:22,27.78434,-82.78197,0,360,511,CALYPSO BREEZE,,WDJ4546,60,0,19,,,69,A
367371410,2023-01-01T00:06:00,44.60885,-83.73018,0,14,511,JONATHAN ERICKSON,IMO8836601,WDE5769,31,5,46,12,,52,A
367641590,2023-01-01T00:06:00,38.32462,-85.65515,0,360,511,MARTY B,,WDH6786,31,0,14,,,99,A
565004000,2023-01-01T00:02:23,32.664,-78.3433,12.1,248,248,WAN HAI 505,IMO9294874,S6AV3,70,0,268,32,12.5,70,A
368252160,2023-01-01T00:06:16,29.94987,-90.30877,0.2,123,511,KENNY BILLIOT JR,,WDM9384,31,0,20,10,2.7,31,A
367596940,2023-01-01T00:02:30,40.67013,-74.08329,0,248.8,133,CAPT WILLIE LANDERS,,WDH2376,31,0,22,8,,31,A
368926285,2023-01-01T00:06:26,36.85747,-76.30752,0,338.9,511,USACE EWELL,,AELQ,49,5,19,7,0,49,A
366813530,2023-01-01T00:02:22,34.05559,-119.54888,18.8,46.4,511,ISLANDER,,WDA4825,60,0,19,7,,60,A
636011792,2023-01-01T00:02:30,24.91918,-83.19249,12,3.6,3,PREMIUM DO BRASIL,IMO9242089,A8BL4,80,0,204,32,11.4,70,A
368024780,2023-01-01T00:02:23,38.68346,-90.19592,0,188.4,329,AMERICAN PRIDE,,WDJ9310,31,12,20,7,3,31,A
366941830,2023-01-01T00:05:39,29.31172,-94.8072,0,314.1,511,SAN PATRICIO,,WCX6675,31,0,18,7,,52,A
367581680,2023-01-01T00:02:23,30.73277,-88.04201,3.9,2.2,0,THE DELTA,,WDG8848,31,4,16,6,,31,A
366909510,2023-01-01T00:05:51,32.8543,-79.95308,0,356.6,511,MARGARET MCALLISTER,IMO8990469,WDB5426,31,0,32,9,4.3,52,A
366996830,2023-01-01T00:05:59,37.9278,-87.88644,0,145.4,511,ROAN,,WDC2724,31,0,14,6,,52,A
367504690,2023-01-01T00:05:58,45.58101,-122.76029,0,262.6,124,WALLACE E,IMO8936580,WDF9394,31,0,35,10,,31,A
366773340,2023-01-01T00:06:02,30.3983,-81.42791,0,110.4,511,ST JOHNS,,WCZ5404,60,,15,5,,,B
367031390,2023-01-01T00:02:28,36.83894,-76.29143,0,124.1,332,CAPTAIN HANK,,WCR9342,31,0,22,8,,52,A
367672770,2023-01-01T00:04:56,38.22562,-85.84403,0.7,171.1,511,WAYNE MCBRIDE,,WDH9907,31,12,17,,,31,A
